Regiões de Saúde,Código da R.S.,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,Renda média per capita (em R$),Razão de dependência,Índice de Desenvolvimento Humano,Taxa de desemprego,Densidade demográfica,População total,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,População masculina total,População feminina total,Percentual da população analfabeta de 15 anos ou mais,Percentual da população residente com renda domiciliar mensal per capita de até meio salário mínimo,Razão entre a renda dos 10% mais ricos e a dos 40% mais pobres,Recursos próprios por habitante (em R$),Gasto público em saúde como proporção do PIB,Percentual dos recursos próprios destinados à saúde,Recursos próprios destinados à saúde por habitante (em R$),Total das transferências SUS por habitante (em R$),Gasto público total em saúde por habitante (em R$),Equipamentos de ultrassonografia por 100 mil habitantes,Equipamentos de ultrassonografia diponíveis ao SUS por 100 mil habitantes,Enfermeiros por 100 mil habitantes,Enfermeiros disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários por 100 mil habitantes,Médicos Ginecologistas e Obstetras ou Mastologistas e Cirurgiões de Mama por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas por 100 mil habitantes",Médicos disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários disponíveis ao SUS por 100 mil habitantes,Médicos Ginecologistas Obstetras ou Mastologistas e Cirurgiões de Mama disponíveis ao SUS por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas disponíveis ao SUS por 100 mil habitantes",Leitos de UTI Neonatal por 1000 nascidos vivos,Leitos de UTI Neonatal disponíveis ao SUS por 1000 nascidos vivos,Percentual de partos hospitalares,Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente,Percentual da população coberta pela Estratégia Saúde da Família (ESF),Distância média percorrida (em km) para realização de parto hospitalar fora da Região de Saúde de residência,Percentual de partos hospitalares realizados fora da Região de Saúde de residência,Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária,Percentual da população coberta por planos e seguros de assistência suplementar à saúde,Cobertura populacional estimada pelas equipes de Atenção Básica,Taxa de histerectomias padronizada por idade por 100 mil mulheres de 20 anos ou mais,Percentual de nascidos vivos de mães que fizeram mais de 6 consultas pré-natal,Número de casos novos de sífilis congênita em menores de 1 ano,Taxa de mortalidade neonatal precoce (0 a 6 dias) por 1000 nascidos vivos,Taxa de mortalidade neonatal tardia (7 a 27 dias) por 1000 nascidos vivos,Taxa de mortalidade pós-neonatal (28 a 364 dias) por 1000 nascidos vivos,Número de óbitos maternos devidos a causas diretas por 100.000 nascidos vivos,Taxa de mortalidade infantil (menores de 1 ano) por 1000 nascidos vivos
5ª Região de Saúde - Santa Cruz,24005,70,41.5,69.3,256.96,57.32,0.605,8.8,37.9,191382,70,41.5,69.3,96458,94924,27.2,64.2,14.4,765,6.4,21.7,165.7,143.3,313.9,9.4,9.4,57.5,57.5,15.15,1.57,0.52,42.85,15.15,1.57,0.52,0,0,98.5,101.5,96,64.1,37.5,0.76,5.5,96.2,233.4,43.4,9,4.7,1.1,3.6,36.3,9.4
6ª Região de Saúde - Pau dos Ferros,24006,74.5,21.3,69.2,292.96,52.54,0.617,9.1,47.4,249389,74.5,21.3,69.2,123918,125471,26.1,60.3,14.3,947.5,7.4,22.7,215,155.4,385.1,12.4,10.4,59.7,59.7,7.62,0.4,1.6,35.69,7.62,0.4,1.6,0,0,99.5,96.7,92.5,162.6,9.3,0.74,2.6,95.7,399.3,63.2,1,9,2.5,3,0,14.4
7ª Região de Saúde - Metropolitana,24007,94.5,58,96.7,791.71,41.68,0.75,10.1,1037.4,1224129,94.5,58,96.7,588965,635164,9,33.1,21.6,785.6,2.7,21.4,168.3,164.2,352.8,13.4,6.6,76.2,71.1,10.29,13.4,16.17,104.56,9.97,10.21,13.97,3.7,1.5,97,93,45.5,142.5,0.7,0.44,28.4,48.9,196.4,56.1,117,5.8,1.8,3.8,22,11.3
8ª Região de Saúde - Açu,24008,75.2,24.1,83.6,352.19,49.71,0.636,11.5,27,148878,75.2,24.1,83.6,74881,73997,23.6,55.3,13.8,817,3.6,21.4,175,117.3,301.5,9.4,8.7,58.4,58.4,14.78,1.34,0,46.35,14.78,1.34,0,0,0,99.9,106.2,95.1,74.6,36,0.76,7.3,95.9,507.8,26,3,8,1.4,3.8,0,13.2
1ª Região Mata Atlântica,25001,88,54.2,92.9,698.72,44.7,0.718,10.2,482.3,1205761,88,54.2,92.9,575343,630418,12.8,41.9,22.9,806.2,3.1,18.3,147.2,264,408.5,12.2,5.5,94.9,89.8,19.66,13.77,17.42,98.86,19.66,9.37,13.93,3.2,1.3,99.7,107.1,88.5,147.1,0.7,0.66,17.4,95.2,214.3,55.2,55,6.8,2.5,3.8,46.8,13.1
2ª Região,25002,68.3,35.6,67.2,272.53,58.81,0.595,7.3,98.4,302606,68.3,35.6,67.2,148996,153610,31.7,65.4,15.6,664.8,5.4,18.3,121.4,155.6,281.2,6.3,4,67.1,67.1,20.16,1.65,0.99,48.58,20.16,1.32,0.66,0,0,99.2,108.6,100.9,71.6,18,0.74,2.1,101,218.5,63.6,6,6.9,1.6,3.6,44.5,12
3ª Região,25003,59.7,48,63.5,295.35,58.5,0.597,7,117.8,191042,59.7,48,63.5,93529,97513,28.6,63.4,16.2,611.6,5.5,19.4,118.5,144,277.2,3.1,2.6,49.7,49.7,14.13,1.05,0.52,44.49,14.13,1.05,0.52,0,0,99.6,107.3,98,23.9,62.6,0.92,2.4,98.8,219.8,61.3,2,7.5,1.6,5.2,129.6,14.3
4ª Região,25004,54.5,31.3,62.8,258.67,58.53,0.583,5.3,27.7,108542,54.5,31.3,62.8,54018,54524,29.5,65.2,14.5,759.6,7.4,19.4,147.4,163.8,323.2,5.5,5.5,57.1,57.1,17.5,1.84,0,42.38,17.5,1.84,0,0,0,99.8,107,95.4,77.5,24.9,1.01,1.1,96.4,198.2,78.6,4,4.3,3.7,6.2,0,14.2
5ª Região,25005,61.6,36.9,62,307.17,56.28,0.611,5.5,15.1,116079,61.6,36.9,62,57362,58717,24.2,60.7,14.3,1021,7.4,18.3,186.5,197.1,388.2,12.9,8.6,51.7,51.7,12.92,0,0,38.77,12.92,0,0,0,0,99.5,106.2,100.2,98.9,29.5,1.04,1.8,100.2,468,57.2,1,5.7,4.5,5.7,0,15.9
6ª Região,25006,76.6,66.5,76.3,372.53,53.45,0.652,7.5,37.9,227691,76.6,66.5,76.3,111062,116629,22.6,55.9,15.9,776.8,5.7,18.4,142.9,178.9,323.4,14.1,7.5,101.9,101,9.66,0.44,1.76,48.31,9.66,0.44,1.76,0,0,99.3,101.5,97.7,97.6,18.2,0.62,3,98,245.6,62.6,1,9.9,2,2.9,58,14.8
7ª Região,25007,65.6,33.9,58.7,277.58,53.77,0.596,8.5,26.7,148653,65.6,33.9,58.7,73666,74987,30.6,63.7,16,807.8,8,18.5,149.3,208.2,369,7.4,6.1,60.5,60.5,14.13,0.67,0.67,39.69,14.13,0.67,0.67,0,0,98.1,117.9,101.7,117.4,26.7,0.61,1.1,102.2,180.5,42.5,0,9,3.8,3.8,0,16.5
8ª Região,25008,72.4,46.3,70.8,301.63,50,0.601,6.4,39.5,112933,72.4,46.3,70.8,55999,56934,29.6,59.4,11.6,696.9,7.1,26.6,185.1,151,368.1,5.3,3.5,69.1,69.1,9.74,0,1.77,42.5,9.74,0,1.77,0,0,99.7,104.4,97.6,73.4,30.4,0.79,2,97.6,338.2,53.5,0,8.2,1.8,2.9,58.6,12.9
9ª Região,25009,67.6,41.7,63.3,361.93,52.48,0.63,6.5,49.8,170322,67.6,41.7,63.3,83436,86886,23.8,54.7,16.3,719.3,5.1,17.3,124.5,166.8,289.7,9.4,5.3,78.1,76.9,9.98,2.94,4.11,50.49,9.98,2.94,4.11,0,0,97.1,94.7,92.9,110.1,15.2,0.67,2,96.4,205.9,51.4,2,10.9,2.1,5,41.7,17.9
10ª Região,25010,76.3,45,69.3,350.79,50.97,0.632,9,52.5,113788,76.3,45,69.3,55724,58064,26.8,56.8,15.5,651.1,5.7,17.5,114.1,248.1,398.2,9.7,7,91.4,91.4,10.55,1.76,0,38.67,10.55,0.88,0,0,0,99.9,104.6,99,138,10.5,0.37,4,99.1,34.7,63.6,3,13.5,4.5,3.2,0,21.2
11ª Região,25011,57.6,30,52.7,253.86,58.47,0.578,5.2,38.5,82125,57.6,30,52.7,41077,41048,29.3,64.4,14.6,633.9,7.1,18.6,118.1,155.4,288.2,6.1,3.7,65.8,65.8,9.74,3.65,2.44,46.27,9.74,3.65,2.44,0,0,94.1,113.6,92.9,48.6,49.8,0.97,0.9,100,221.8,54.9,0,9.4,1.6,3.9,0,14.9
12ª Região,25012,55.3,16.5,66.1,248.11,57.14,0.579,8.4,70.8,171594,55.3,16.5,66.1,84715,86879,33.3,67.4,13.1,666.8,5.2,19.9,132.4,159.1,289.6,7,7,47.8,47.8,16.32,1.17,0.58,46.62,16.32,1.17,0.58,0,0,99.5,115.3,100.6,42.2,81.2,0.83,2.1,100.6,202,50.9,11,8.4,4,5.3,0,17.8
13ª Região,25013,65,46.8,63.7,324.83,50.59,0.61,6.2,25.9,59425,65,46.8,63.7,28954,30471,29.2,59,14.7,774.9,6.1,17.8,137.8,191.3,328.2,13.5,11.8,48.8,48.8,8.41,0,0,31.97,8.41,0,0,0,0,99.9,95.7,100,71,20.5,0.57,13.8,100,417.3,78.7,0,5.3,1.3,1.3,262.8,7.9
14ª Região,25014,60.2,11.5,60,245.2,57.3,0.567,10.8,73.5,144011,60.2,11.5,60,71812,72199,31.4,68.1,14.4,698.7,4.3,19,133.1,132.7,268.5,2.8,1.4,45.1,45.1,20.14,0,1.39,36.8,20.14,0,1.39,0,0,98.5,106.8,98.2,46.4,86.2,0.88,1.5,98.2,250.7,51.5,5,6.9,1.7,5.6,42.9,14.2
15ª Região,25015,46.2,29,50.5,253.26,58.36,0.582,5.6,35.8,146717,46.2,29,50.5,72498,74219,27.4,64.8,12.8,695.3,5.7,17.1,118.9,147,283.1,6.8,6.8,46.3,46.3,21.13,0.68,1.36,40.21,21.13,0.68,1.36,0,0,99.4,110.8,97.1,38.4,95.1,1,1.4,97.1,133.3,64.3,6,6,1.3,1.7,43,9
16ª Região,25016,85.1,73.8,85.3,519.63,48.97,0.693,9.6,111,517952,85.1,73.8,85.3,249076,268876,14.4,46.6,18.5,591.8,4.1,16.4,97,288.3,394.1,13.9,7.5,63.1,60,17.96,6.18,6.95,90.94,17.96,5.21,5.6,3.8,1.8,99.7,105.2,83.7,127.9,0.9,0.54,15,95.6,134.6,63.4,19,10,2.9,4.3,60,17.2
Afogados da Ingazeira,26001,63.8,56.6,64.2,294.23,55.43,0.616,7.8,42.8,184669,63.8,56.6,64.2,91167,93502,23,61.7,16.6,679,5.8,17.8,121.2,129.5,265,15.7,10.8,50.4,49.3,9.75,2.17,1.08,41.7,9.75,1.62,1.08,0,0,98.3,113.9,92.4,159,8.6,0.88,1.2,99.2,233,41.7,2,11.5,1.8,6.3,37,19.6
Arcoverde,26002,55.5,49.1,57.1,274.33,60.46,0.59,8.3,28.6,390832,55.5,49.1,57.1,193297,197535,27.8,66.5,19.8,657.9,3.7,20.8,136.8,111,245.8,6.9,3.6,41.2,40.7,5.63,0.51,0.77,32.75,5.63,0.51,0.51,0.1,0,97.1,104.5,77.7,125.8,19.3,0.51,2.7,93.3,181.1,59.5,0,11.1,3,7.2,59.8,21.2
Caruaru,26003,71.1,66.9,80.7,373.95,53,0.622,6.3,111.7,1268176,71.1,66.9,80.7,619538,648638,23.8,52.7,13.9,532.1,3.7,22.2,118.4,121.2,243.3,8.2,5.3,39.9,39.3,7.73,2.84,3.39,44.79,7.65,2.37,2.76,0.2,0,99.1,107.5,61.6,85.8,26.4,0.57,7.3,78.1,253.6,51.5,20,8.2,2.3,5.2,57.4,15.7
Garanhuns,26004,56.8,44.2,62.3,295.49,59.39,0.584,6.7,71.6,524708,56.8,44.2,62.3,257285,267423,29.7,64.3,19.5,578.2,4.2,20.1,116,126,244.6,8.4,4,34.7,34.3,10.1,1.33,2.29,36.78,10.1,1.33,2.29,0,0,93.6,117.5,83,140.7,12.5,0.51,4.2,97.9,200.1,51.5,4,9.2,2.3,4.4,44.4,16
Goiana,26005,65.9,40.5,82.3,287.81,52.66,0.613,13.9,160.5,309280,65.9,40.5,82.3,152530,156750,23.8,64.2,13.6,624.5,3.5,21.7,135.7,104.6,249.6,2.6,1.9,41.4,41.1,15.2,4.85,4.85,68.55,15.2,3.88,4.85,0,0,99.5,118.9,90,55.4,44.6,0.49,3.9,96.5,199.5,44.5,15,6.9,2.6,5,43.1,14.5
Limoeiro,26006,61.9,31.1,65.8,295.89,51.03,0.625,9.8,178.9,578511,61.9,31.1,65.8,283101,295410,24.5,61.3,13.3,544.8,4.2,21.3,115.9,125.5,243.6,5,4.3,41.3,41.3,13.14,1.38,1.56,46.67,13.14,1.04,0.69,0,0,99.7,106.8,90.5,48.1,46.8,0.48,2.4,96.8,268.4,54.2,13,7,1.9,3.1,23.9,12.2
Ouricuri,26007,49.1,36.1,48.9,260.11,63.44,0.581,7.2,23.5,334917,49.1,36.1,48.9,167018,167899,26.8,68.6,20.4,539.3,4.3,20.6,111,93.8,211.8,6.3,5.1,42.4,42.1,10.15,0.6,2.39,37.32,10.15,0.6,2.39,0,0,98.7,104.5,84.9,222.8,9,0.42,1.7,96.6,168.6,51.3,2,13.5,2.1,6.5,30.4,22.2
Palmares,26008,65.8,44.1,69.3,255.24,55.31,0.593,14.7,123.8,587270,65.8,44.1,69.3,293059,294211,25.8,66.5,12.6,610.3,4.1,18.4,112.4,124.7,240.7,7.3,7.2,32.4,32.4,9.2,2.21,2.04,36.78,9.2,2.04,2.04,0,0,99.3,117.2,83.2,66.4,24.8,0.43,2.5,94.7,242.9,41.3,17,7,1.7,5.3,58.1,14.1
Petrolina,26009,80.9,64.2,74.3,467.9,52.34,0.671,9.3,30.3,444063,80.9,64.2,74.3,220146,223917,15.2,52.8,22.3,519.3,3,19.9,103.2,171.3,281.2,10.4,5,44.1,40.3,8.56,8.33,8.11,46.39,8.33,3.6,4.73,1.5,0.4,99.1,107.7,52.6,61.4,13.5,0.31,13,85.7,163.6,48.6,9,8.7,3.5,4.9,74.7,17.1
Recife,26010,80.9,56.6,93.1,710.6,42.58,0.732,13.4,1074.9,3992834,80.9,56.6,93.1,1904403,2088431,9.4,41.7,25.2,862.2,1.8,16.9,145.6,134.2,278.8,12.6,5.7,72.4,66.6,10.02,11.45,16.25,101.76,9.99,8.59,13.67,2.6,1.2,99.8,102.9,54.7,61.1,1.5,0.54,26.7,72,146,55.1,404,7.5,2,3.8,55.1,13.3
Salgueiro,26011,68.1,51.9,62.2,322.87,57.84,0.637,9.3,20.6,141704,68.1,51.9,62.2,70571,71133,19.8,63.2,22,705.9,4.1,18.6,131.1,104.5,238.9,8.5,4.9,48.7,48.7,7.06,4.23,3.53,47.28,7.06,4.23,3.53,0,0,99.3,100.6,83.3,131.2,8.4,0.69,2.2,98.3,285.5,52.1,4,10.3,1.5,3.4,76.5,15.3
Serra Talhada,26012,59.7,47,55.5,308.47,56.47,0.626,7.1,18.6,228694,59.7,47,55.5,112601,116093,23.3,60.6,17.9,721.9,3.6,18.5,133.3,92.8,233.8,10.9,4.8,38.9,38.9,5.25,0.87,3.06,32.36,5.25,0.87,3.06,0,0,99.1,122.9,61.2,115.7,11.2,0.59,2.4,99.5,249.2,42,1,12.2,2,4.8,76.1,19
1ª Região de Saúde,27001,73.4,44.1,95.6,655.21,45.98,0.704,12.3,538,1210389,73.4,44.1,95.6,579206,631183,13.2,43.3,24.7,768.9,2.8,17,130.7,196.3,327.9,10.2,4.5,50.2,47,7.68,12.64,15.53,87.16,7.52,9.83,13.05,3.4,1.5,99.8,99.4,38.7,106,0.4,0.43,20.7,35.8,208.5,49.2,136,8.3,2.5,5,62.5,15.8
2ª Região de Saúde,27002,50.7,16.6,68.5,226.09,62.11,0.564,10.9,75.1,161319,50.7,16.6,68.5,81457,79862,29.6,70,12.7,536.3,4.5,18.2,97.4,130.2,227.1,4.3,4.3,43.4,43.4,22.94,1.24,0.62,44.01,22.94,1.24,0.62,0,0,99,104.9,97.1,62.7,69,0.43,1.1,97.6,250.3,37.1,12,6.7,4,4,33.6,14.8
3ª Região de Saúde,27003,63.9,51.4,69.7,231.16,63.05,0.552,10.4,82.8,221532,63.9,51.4,69.7,110936,110596,32.5,67.5,13.7,591.7,5.9,18.2,107.4,197.9,299.9,6.8,5,42,42,15.8,1.81,1.35,41.53,15.8,1.81,1.35,0,0,98.8,104.9,90.3,60.1,39.9,0.38,1.6,98.2,361.6,51,20,9.7,3.1,6.9,51.1,19.7
4ª Região de Saúde,27004,64.9,23.5,74,221.45,60.85,0.57,12.6,72.4,144772,64.9,23.5,74,72412,72360,31.5,70.6,14.8,664.7,7,15.5,103.1,208.4,308.8,6.2,6.2,44.2,44.2,12.43,5.53,0.69,53.19,12.43,5.53,0.69,0,0,99.2,113.5,92.5,49,63.3,0.48,1.9,103.2,264.7,40.7,14,9.8,2.4,5.7,0,17.9
5ª Região de Saúde,27005,67.9,38.8,88.4,253.49,57.43,0.586,17.1,132.1,228094,67.9,38.8,88.4,113148,114946,26.4,67.1,13.6,615.8,4.5,19.7,121.3,163.7,282.7,4.8,4.8,39.5,39.5,15.78,0.44,0.44,39.02,15.78,0.44,0.44,0,0,99.3,104.4,81.6,48.8,38,0.37,2.3,94.3,321.7,37.6,18,10,2.3,4.6,57,16.8
6ª Região de Saúde,27006,77.2,22.6,76.4,264.61,56.29,0.602,11.2,65.7,202402,77.2,22.6,76.4,100969,101433,26.6,67.4,17.9,647.3,5.3,18.6,120.4,226.1,364.2,6.9,6.9,45.5,45.5,12.35,2.96,2.47,48.91,12.35,2.96,1.98,0,0,98.7,101.3,96.7,73.5,20.1,0.58,2.2,97.2,358.8,34.4,5,9.8,1.5,4.5,0,15.8
7ª Região de Saúde,27007,54.7,13.3,64.4,284.07,56.12,0.596,7.1,111.5,513108,54.7,13.3,64.4,252329,260779,29.7,63.9,18,524.1,6.1,21,110,230.8,350.8,8.2,6.8,50.9,50.9,9.55,1.75,3.7,56.13,9.55,1.75,2.92,1.2,1.2,99.6,100.9,83.8,95.6,3,0.63,3.3,95.9,242.1,41.1,6,9.8,2.1,6.5,57.9,18.4
8ª Região de Saúde,27008,49.1,14.9,56.9,296.01,56.36,0.599,7,84.4,158013,49.1,14.9,56.9,77046,80967,30,62.3,18.7,564.6,7.7,21.3,120.3,278.7,359,10.8,7.6,46.2,46.2,8.86,0.63,1.9,41.14,8.86,0.63,1.27,3.7,3,97.3,99.9,98.7,46.7,23.2,0.41,17.5,98.7,413,42.2,1,8.5,2.2,3.3,148.6,14.1
9ª Região de Saúde,27009,50.7,5.9,53,209.83,67.31,0.553,6.4,57.6,234917,50.7,5.9,53,116778,118139,32.3,72.9,23.4,597.3,7.8,20,119.2,161,286.5,4.3,2.6,40.4,40.4,8.94,0.85,0,25.54,8.94,0.85,0,0,0,95.1,107.3,87.7,86,43.6,0.49,1.5,97,217,31.5,1,7.4,4.5,7.2,90.2,19.2
10ª Região de Saúde,27010,59.3,39.8,59.5,234.61,64.78,0.562,6.8,47.2,157287,59.3,39.8,59.5,77915,79372,30.2,67.7,20.1,863.6,6.1,16.1,139.1,137.3,259.7,3.2,3.2,38.8,38.8,11.44,1.91,0.64,40.05,11.44,1.91,0.64,0,0,91.9,113.7,80,56.3,40.4,0.59,2,98.5,174.9,36.1,3,10.1,2,6.7,0,18.9
Aracaju,28001,91.2,75.5,95.1,828.51,42.04,0.743,11.6,413.1,768603,91.2,75.5,95.1,366736,401867,8.6,36.9,24.5,867.7,2.9,16.7,144.6,262.7,419.8,20.7,10.8,82.5,78.3,17.3,10.8,16.39,120.48,17.17,7.29,13.27,6.9,4.8,98.6,98.6,79.9,123.7,0.7,0.36,26.3,79,301.2,52.8,65,9.7,2.4,4.9,72.4,17.1
Estância,28002,57.8,14.6,69.1,277.6,56.23,0.596,9.1,81.5,234936,57.8,14.6,69.1,117527,117409,24.6,64.7,13.9,653.8,2.9,16.3,106.9,126.6,249.8,8.5,7.7,31.9,31.9,13.2,0.43,1.28,29.8,13.2,0.43,1.28,0.5,0,98.9,103.7,88,73,12.6,0.52,1.9,97.7,346.9,29.5,31,6.7,1.7,5.2,49.7,13.7
Itabaiana,28003,77.5,36.1,79.7,351.24,51.37,0.612,5.4,76.3,238343,77.5,36.1,79.7,118868,119475,26.3,54,12.7,649.3,3.4,16.1,104.5,145.6,275,7.6,5.5,29.4,29.4,12.59,0,0.84,35.24,12.59,0,0.84,0,0,99.5,105.9,82.4,52,8.4,0.27,2.4,94.8,401.1,78.6,22,11.7,0.5,3.2,79.5,15.4
Lagarto,28004,65.1,35.9,69.2,310.62,53.47,0.596,7.1,65.9,248435,65.1,35.9,69.2,123253,125182,26.4,58.8,13.9,466,3.5,15.9,74.2,163.3,226.1,5.2,4,34.6,34.2,10.06,0.4,2.01,33.01,10.06,0.4,2.01,1.4,0,97.6,107.8,54.4,71.4,29.5,0.86,2.8,96,277.5,31.2,5,7.2,1.1,2,114.9,10.3
Nossa Senhora da Glória,28005,76,37,62.7,235.19,58.3,0.566,7.7,29.4,160112,76,37,62.7,81317,78795,30.2,70.5,17.9,984.4,2.2,17.3,170.4,127.9,304.4,5,5,42.5,42.5,13.12,1.87,0,34.35,13.12,1.87,0,0,0,98.5,103.3,86.2,99.2,31.6,0.39,1.4,94.4,192.9,37.7,9,9.4,1.4,6.8,0,17.6
Nossa Senhora do Socorro,28006,85.5,44.5,85.2,324.51,50.73,0.643,14.9,128.5,314339,85.5,44.5,85.2,155697,158642,15.1,56.4,12.2,751.1,2.1,18.4,138.4,108.6,262.6,9.2,8.6,36.9,36.9,19.72,0.32,1.59,39.45,19.72,0.32,1.59,0,0,99,105.2,93.4,16.3,81.1,0.54,7.1,92.3,369.2,42.2,27,7.9,1.7,4,57.7,13.7
Propriá,28007,76.8,30.5,75.1,268.28,56.6,0.598,10,65.1,155281,76.8,30.5,75.1,77978,77303,24.9,66.6,15.5,893.5,4.1,17.1,153.1,130.5,299.1,8.4,7.7,41.9,41.9,19.32,2.58,1.29,37.35,19.32,1.93,1.29,0,0,96.2,110.7,98.6,58.7,94,0.38,2.8,97.2,305.8,37.7,9,6,3.4,2.6,85.9,12
Alagoinhas,29001,74.8,30.4,65.9,330.33,52.6,0.617,11.3,45,533572,74.8,30.4,65.9,266170,267402,18.3,59.1,17.7,600.6,3.5,19.9,119.4,120.5,253.9,9.9,4.7,42.2,41.2,13.12,5.06,3.19,49.1,13.12,3.19,2.06,0,0,98.5,98.1,67.3,74.7,30.5,0.47,7.3,90,182.2,41.4,9,11.2,1.7,6.4,80.2,19.4
Barreiras,29002,70,19.1,67.2,428.98,50.57,0.667,8.6,5.6,422435,70,19.1,67.2,218696,203739,16.6,51.9,20.6,941.8,2.3,19.1,179.6,158.9,343.1,9.2,4.7,49,49,3.31,3.55,4.5,43.08,3.31,2.6,4.26,2.1,1,61.3,98.1,43,318,3.2,0.72,3.7,85,154,55.7,2,8.7,1.8,3.9,14.1,14.6
Brumado,29003,62.5,25.5,47.4,278.13,50.7,0.605,7.3,17.3,422094,62.5,25.5,47.4,213651,208443,21.6,59,14.7,611.9,5.2,20.3,124.3,155,290.8,10,3.6,53.5,52.4,8.29,0.71,0.95,37.43,8.29,0.47,0.95,0,0,97.1,104.2,76.2,91.1,9.4,0.65,1.7,93.3,234.2,57,4,11.5,3.4,4.6,19.1,19.5
Camaçari,29004,85,61.6,88.3,435.47,44.33,0.679,16.2,178.3,552434,85,61.6,88.3,277456,274978,8.3,44.7,14.8,1379,1,19.4,268.2,122.6,387.4,10.3,3.4,47.8,46.9,10.86,9.96,7.78,83.45,10.86,7.24,6.34,0.6,0,98.9,101.6,46.9,39.8,31,0.53,21.6,71.4,157.2,40.2,15,9.9,2.4,3.9,112.4,16.3
Cruz das Almas,29005,64.8,24,64.1,334.36,47.94,0.65,12.4,147.9,263997,64.8,24,64.1,129579,134418,15.8,57.4,17.8,608.9,4.8,18.7,113.6,148.8,261,11,6.1,48.1,47,9.47,1.14,1.89,43.56,9.47,0.76,1.52,0,0,98.2,103.7,74.8,45.4,21,0.48,3.7,96,399.5,56.4,2,11.5,0.9,3.8,88.4,16.2
Feira de Santana,29006,69.6,41.9,76,450.18,48.28,0.665,10.2,68.6,1131401,69.6,41.9,76,553210,578191,14.3,48.9,18.8,489,3.1,22.2,108.5,163.4,285.8,10.8,4.9,54.5,54.4,10.16,2.65,2.39,56.13,10.16,2.3,2.21,1.3,0.7,96.2,97.5,62.6,87.5,4.8,0.53,9.2,96,305.3,40.6,39,9,2.1,5.3,60.1,16.4
Guanambi,29007,63.8,19.4,53.5,310.68,50.18,0.617,6.9,16.7,453790,63.8,19.4,53.5,231088,222702,21.3,56.6,14.9,587.1,5.2,18.5,108.4,137.1,257.9,9.9,4.6,46.7,46.1,4.19,1.1,1.1,38.56,4.19,0.66,0.44,0,0,99.2,101.9,72.2,105.4,3.7,0.62,1.3,97.3,263.9,55.9,1,8.3,3.2,4.2,84.7,15.8
Ibotirama,29008,59.7,13.4,49,203.12,62.08,0.578,9.4,6,194116,59.7,13.4,49,100320,93796,20.8,70.7,21.4,601.5,5.4,18.2,109.3,90.6,212.2,7.2,4.1,40.2,40.2,5.15,1.03,1.03,23.18,5.15,0,1.03,0,0,90.7,119.8,56.3,169.2,7.8,0.74,0.9,94.1,276.8,32.7,1,10.4,1.1,6.7,111.6,18.2
Ilhéus,29009,69.3,56.5,77.5,427.99,52.01,0.647,12,46.4,340538,69.3,56.5,77.5,171456,169082,16.5,50.8,18.2,605.8,3.2,17.1,103.7,160.8,277.8,10.3,4.1,60.5,59.9,6.46,2.35,2.94,46.4,6.46,1.47,2.06,0,0,97.5,90.4,59,40.7,21.9,0.32,6.1,79.2,285.8,17.5,29,11.6,2.8,6.7,40.6,21.1
Irecê,29010,75.5,12.8,67.5,270.95,56.26,0.611,8.4,16.2,414641,75.5,12.8,67.5,211338,203303,18.3,63.6,17.4,602.5,6.5,20.3,122.5,167.9,298.2,12.1,9.2,43.4,42.4,4.58,1.69,0.24,31.83,4.58,1.45,0,1.5,1.5,94.7,95.1,67.1,151.2,2.8,0.84,1.2,94.4,237.3,34.3,0,11.5,3.7,4,46.1,19.2
Itaberaba,29011,67,32.1,68.4,275.83,59.62,0.587,12.1,13.8,257801,67,32.1,68.4,129527,128274,22.2,64.3,20.3,622.1,5.7,20.3,126.1,157.3,278.4,11.2,7.8,46.9,46.9,9.31,1.55,1.16,33.36,9.31,1.16,0.78,0,0,69.7,101.5,78.7,161.3,11.4,0.56,1.7,97.5,400.2,31.7,0,12.3,3.5,7,80.2,22.7
Itabuna,29012,77.8,69.9,83.1,393.49,51.69,0.644,12.9,62.7,539553,77.8,69.9,83.1,268083,271470,18.2,53,17.2,639.3,3,17.9,114.1,99.9,231.5,8,5.7,82.5,80.6,5.56,1.48,2.59,57.83,5.56,1.11,2.41,2.4,0.9,99.1,93.5,63.1,64.3,3.7,0.46,7.5,95.9,224.2,25.9,9,15,3.6,5,75.2,23.7
Itapetinga,29013,77.8,75.6,81.2,336.8,53.59,0.609,8.7,21.7,253401,77.8,75.6,81.2,129146,124255,22.7,52.4,11,629.6,3.7,18.4,116,106.3,236,6.7,4.3,47,47,5.92,0.79,1.58,33.94,5.92,0.39,0.79,0,0,98.8,109,64.7,97.1,16,0.54,3,97,266.3,41.1,3,14.3,3.1,4.2,112,21.6
